"1809.06296","Jeffrey Galkowski","Yaiza Canzani and Jeffrey Galkowski","Improvements for eigenfunction averages: An application of geodesic
  beams","70 pages, 4 figures. The new version includes a small revision to the
  arguments in section 6",,,,"math.AP math.SP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let $(M,g)$ be a smooth, compact Riemannian manifold and $\{\phi_\lambda \}$
an $L^2$-normalized sequence of Laplace eigenfunctions, $-\Delta_g\phi_\lambda
=\lambda^2 \phi_\lambda$. Given a smooth submanifold $H \subset M$ of
codimension $k\geq 1$, we find conditions on the pair $(M,H)$, even when
$H=\{x\}$, for which $$ \Big|\int_H\phi_\lambda
d\sigma_H\Big|=O\Big(\frac{\lambda^{\frac{k-1}{2}}}{\sqrt{\log
\lambda}}\Big)\qquad \text{or}\qquad |\phi_\lambda(x)|=O\Big(\frac{\lambda
^{\frac{n-1}{2}}}{\sqrt{\log \lambda}}\Big), $$ as $\lambda\to \infty$. These
conditions require no global assumption on the manifold $M$ and instead relate
to the structure of the set of recurrent directions in the unit normal bundle
to $H$. Our results extend all previously known conditions guaranteeing
improvements on averages, including those on sup-norms. For example, we show
that if $(M,g)$ is a surface with Anosov geodesic flow, then there are
logarithmically improved averages for any $H\subset M$. We also find weaker
conditions than having no conjugate points which guarantee $\sqrt{\log
\lambda}$ improvements for the $L^\infty$ norm of eigenfunctions. Our results
are obtained using geodesic beam techniques, which yield a mechanism for
obtaining general quantitative improvements for averages and sup-norms.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:01:39 GMT""},{""version"":""v2"",""created"":""Fri, 12 Oct 2018 16:42:04 GMT""},{""version"":""v3"",""created"":""Thu, 21 Mar 2019 02:40:09 GMT""},{""version"":""v4"",""created"":""Thu, 18 Mar 2021 13:50:35 GMT""},{""version"":""v5"",""created"":""Fri, 10 Sep 2021 13:46:25 GMT""}]","2021-09-13"
"1809.06297","Liqun Chen","Liqun Chen, Shuyang Dai, Chenyang Tao, Dinghan Shen, Zhe Gan, Haichao
  Zhang, Yizhe Zhang, Lawrence Carin","Adversarial Text Generation via Feature-Mover's Distance",,,,,"cs.CL","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Generative adversarial networks (GANs) have achieved significant success in
generating real-valued data. However, the discrete nature of text hinders the
application of GAN to text-generation tasks. Instead of using the standard GAN
objective, we propose to improve text-generation GAN via a novel approach
inspired by optimal transport. Specifically, we consider matching the latent
feature distributions of real and synthetic sentences using a novel metric,
termed the feature-mover's distance (FMD). This formulation leads to a highly
discriminative critic and easy-to-optimize objective, overcoming the
mode-collapsing and brittle-training problems in existing methods. Extensive
experiments are conducted on a variety of tasks to evaluate the proposed model
empirically, including unconditional text generation, style transfer from
non-parallel text, and unsupervised cipher cracking. The proposed model yields
superior performance, demonstrating wide applicability and effectiveness.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:03:13 GMT""},{""version"":""v2"",""created"":""Wed, 12 Aug 2020 17:31:30 GMT""}]","2020-08-13"
"1809.06298","Luca Calatroni","Simone Parisotto, Luca Calatroni, Marco Caliari, Carola-Bibiane
  Sch\""onlieb, Joachim Weickert","Anisotropic osmosis filtering for shadow removal in images",,,"10.1088/1361-6420/ab08d2",,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present an anisotropic extension of the isotropic osmosis model that has
been introduced by Weickert et al.~(Weickert, 2013) for visual computing
applications, and we adapt it specifically to shadow removal applications. We
show that in the integrable setting, linear anisotropic osmosis minimises an
energy that involves a suitable quadratic form which models local directional
structures. In our shadow removal applications we estimate the local structure
via a modified tensor voting approach (Moreno, 2012) and use this information
within an anisotropic diffusion inpainting that resembles edge-enhancing
anisotropic diffusion inpainting (Weickert, 2006, Gali\'c, 2008). Our numerical
scheme combines the nonnegativity preserving stencil of Fehrenbach and Mirebeau
(Fehrenbach, 2014) with an exact time stepping based on highly accurate
polynomial approximations of the matrix exponential. The resulting anisotropic
model is tested on several synthetic and natural images corrupted by constant
shadows. We show that it outperforms isotropic osmosis, since it does not
suffer from blurring artefacts at the shadow boundaries.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:04:28 GMT""}]","2019-05-22"
"1809.06299","Olga Zagovora","Olga Zagovora, Katrin Weller, Milan Janosov, Claudia Wagner and
  Isabella Peters","What increases (social) media attention: Research impact, author
  prominence or title attractiveness?","Paper presented at 23rd International Conference on Science and
  Technology Indicators (STI 2018) in Leiden, The Netherlands","STI 2018 Conference Proceeding (2018) 1182-1190","10.31235/osf.io/mwxye",,"cs.SI cs.DL physics.soc-ph","http://creativecommons.org/licenses/by-nc-sa/4.0/","  Do only major scientific breakthroughs hit the news and social media, or does
a 'catchy' title help to attract public attention? How strong is the connection
between the importance of a scientific paper and the (social) media attention
it receives? In this study we investigate these questions by analysing the
relationship between the observed attention and certain characteristics of
scientific papers from two major multidisciplinary journals: Nature
Communication (NC) and Proceedings of the National Academy of Sciences (PNAS).
We describe papers by features based on the linguistic properties of their
titles and centrality measures of their authors in their co-authorship network.
We identify linguistic features and collaboration patterns that might be
indicators for future attention, and are characteristic to different journals,
research disciplines, and media sources.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:04:45 GMT""}]","2018-09-19"
"1809.06300","Robbert Rietkerk","Kirill Melnikov, Robbert Rietkerk, Lorenzo Tancredi and Christopher
  Wever","Double-real contribution to the quark beam function at N$^{3}$LO QCD","28 pages, 1 figure; updated ancillary file (accessible through url in
  the section ""Results"")",,"10.1007/JHEP02(2019)159","CERN-TH-2018-205, TTP18-034","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We compute the master integrals required for the calculation of the
double-real emission contributions to the matching coefficients of 0-jettiness
beam functions at next-to-next-to-next-to-leading order in perturbative QCD. As
an application, we combine these integrals and derive the double-real gluon
emission contribution to the matching coefficient $I_{qq}(t,z)$ of the quark
beam function.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:05:41 GMT""},{""version"":""v2"",""created"":""Wed, 10 Apr 2019 16:38:14 GMT""},{""version"":""v3"",""created"":""Wed, 23 Oct 2019 14:33:04 GMT""}]","2019-10-24"
"1809.06301","Anthony Papathanassiou Assistant Professor","Eirini Kolonelou, Anthony N. Papathanassiou, and Elias Sakellis","Evidence of local softening in glassy poly(vinyl alcohol)/poly(vinyl
  pyrrolidone) (1/1, w/w) nano-graphene platelets composites","8 figures","Materials Chemistry and Physics (2018)","10.1016/j.matchemphys.2018.10.058",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Complex permittivity studies on glassy poly(vinyl alcohol)/poly(vinyl
pyrrolidone) (1/1) at proper pressure-temperature condition, provide the
activation volume and energy values for both dc conductivity and
\b{eta}-relaxation. The temperature dependence of the activation volume, which
signatures volume-fluctuations accompanying a dynamic process, maximizes at
temperature near the glass transition temperature of neat polyvinyl alcohol.
The phenomenon is interpreted by a local softening of polyvinyl alcohol
domains, while the blend remains in its glassy state. The scenario is also
supported by the dependence of the activation energy upon pressure. Dispersed
nano-graphene platelets at volume fractions around the critical conductivity
percolation threshold are comparatively studied, so as to determine whether
local softening affects the formation of a conductivity percolation network.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:11:49 GMT""},{""version"":""v2"",""created"":""Wed, 26 Sep 2018 17:36:10 GMT""}]","2018-11-01"
"1809.06302","Rafael L\'opez","Rafael L\'opez","The Dirichlet problem for the $\alpha$-singular minimal surface equation","12 pages. Accepted to be published in Archiv der Mathematik",,,,"math.DG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let $\Omega\subset\r^n$ be a bounded mean convex domain. If $\alpha<0$, we
prove the existence and uniqueness of classical solutions of the Dirichlet
problem in $\Omega$ for the $\alpha$-singular minimal surface equation with
arbitrary continuous boundary data.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:14:31 GMT""}]","2018-09-18"
"1809.06303","Daniel Durstewitz","Daniel Durstewitz, Quentin J.M. Huys, Georgia Koppe","Psychiatric Illnesses as Disorders of Network Dynamics",,,,,"q-bio.NC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This review provides a dynamical systems perspective on psychiatric symptoms
and disease, and discusses its potential implications for diagnosis, prognosis,
and treatment. After a brief introduction into the theory of dynamical systems,
we will focus on the idea that cognitive and emotional functions are
implemented in terms of dynamical systems phenomena in the brain, a common
assumption in theoretical and computational neuroscience. Specific
computational models, anchored in biophysics, for generating different types of
network dynamics, and with a relation to psychiatric symptoms, will be briefly
reviewed, as well as methodological approaches for reconstructing the system
dynamics from observed time series (like fMRI or EEG recordings). We then
attempt to outline how psychiatric phenomena, associated with schizophrenia,
depression, PTSD, ADHD, phantom pain, and others, could be understood in
dynamical systems terms. Most importantly, we will try to convey that the
dynamical systems level may provide a central, hub-like level of convergence
which unifies and links multiple biophysical and behavioral phenomena, in the
sense that diverse biophysical changes can give rise to the same dynamical
phenomena and, vice versa, similar changes in dynamics may yield different
behavioral symptoms depending on the brain area where these changes manifest.
If this assessment is correct, it may have profound implications for the
diagnosis, prognosis, and treatment of psychiatric conditions, as it puts the
focus on dynamics. We therefore argue that consideration of dynamics should
play an important role in the choice and target of interventions.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:14:37 GMT""}]","2018-09-18"
"1809.06304","Andre Manoel","Andre Manoel, Florent Krzakala, Ga\""el Varoquaux, Bertrand Thirion,
  Lenka Zdeborov\'a","Approximate message-passing for convex optimization with non-separable
  penalties","18 pages, 6 figures",,,,"stat.ML cs.IT cs.LG math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce an iterative optimization scheme for convex objectives
consisting of a linear loss and a non-separable penalty, based on the
expectation-consistent approximation and the vector approximate message-passing
(VAMP) algorithm. Specifically, the penalties we approach are convex on a
linear transformation of the variable to be determined, a notable example being
total variation (TV). We describe the connection between message-passing
algorithms -- typically used for approximate inference -- and proximal methods
for optimization, and show that our scheme is, as VAMP, similar in nature to
the Peaceman-Rachford splitting, with the important difference that stepsizes
are set adaptively. Finally, we benchmark the performance of our VAMP-like
iteration in problems where TV penalties are useful, namely classification in
task fMRI and reconstruction in tomography, and show faster convergence than
that of state-of-the-art approaches such as FISTA and ADMM in most settings.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:14:55 GMT""}]","2018-09-18"
"1809.06305","Xiao Li","Xiao Li, Yao Ma and Calin Belta","Automata Guided Reinforcement Learning With Demonstrations",,,,,"cs.AI","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Tasks with complex temporal structures and long horizons pose a challenge for
reinforcement learning agents due to the difficulty in specifying the tasks in
terms of reward functions as well as large variances in the learning signals.
We propose to address these problems by combining temporal logic (TL) with
reinforcement learning from demonstrations. Our method automatically generates
intrinsic rewards that align with the overall task goal given a TL task
specification. The policy resulting from our framework has an interpretable and
hierarchical structure. We validate the proposed method experimentally on a set
of robotic manipulation tasks.
","[{""version"":""v1"",""created"":""Mon, 17 Sep 2018 16:17:28 GMT""},{""version"":""v2"",""created"":""Tue, 25 Sep 2018 22:10:42 GMT""}]","2018-09-27"
